task_id,variant,passed,steps,input_tokens,output_tokens,total_tokens,wall_seconds,hallucinated_count,error
01_renamed_helper,exec,True,5,1733,193,1926,16.80,0,
01_renamed_helper,lsp,True,5,2416,150,2566,34.51,0,
02_wrong_attribute,exec,True,5,1758,205,1963,15.77,0,
02_wrong_attribute,lsp,True,6,3120,210,3330,33.90,0,
03_moved_symbol,exec,True,14,10578,664,11242,52.40,1,
03_moved_symbol,lsp,True,13,9294,413,9707,43.24,1,
04_wrong_arg_order,exec,True,4,1279,132,1411,10.75,0,
04_wrong_arg_order,lsp,True,5,2690,150,2840,32.57,0,
05_typo_in_constant,exec,True,5,1679,203,1882,12.17,0,
05_typo_in_constant,lsp,True,5,2286,113,2399,31.35,0,
